,geno,dcc,passed,age_group,animal
2531,wt,0.02348192235361668,False,Young,caf95
2532,wt,0.03804523403277438,False,Young,caf95
2533,wt,0.029508036596559872,False,Young,caf95
2534,wt,0.020663156857976706,False,Old,caf88
2535,wt,0.16405853363428413,False,Old,caf88
2555,wt,0.09889619227912205,True,Young,caf92
2593,wt,0.05872714452312855,True,Old,caf81
2613,e4,0.016468308106868834,True,Mid,caf50
2614,e4,0.012794163782489765,True,Mid,caf50
2615,e4,0.008621787082573107,True,Mid,caf50
2616,e4,0.07181545808216394,True,Mid,caf50
2617,e4,0.07247244934739139,True,Mid,caf50
2618,e4,0.02587975589288849,True,Mid,caf50
2619,e4,0.08272063479758995,True,Mid,caf50
2623,wt,0.32812074663089064,True,Young,caf95
2624,wt,0.15641512825031167,False,Mid,caf26
2625,wt,0.17693333049935367,True,Mid,caf26
2626,wt,0.028235758513921683,False,Mid,caf26
2627,wt,0.014229654425954807,False,Mid,caf26
2628,wt,0.31933507813859774,False,Mid,caf26
2629,wt,0.5113345513746295,False,Mid,caf26
2630,wt,0.3459737715837341,False,Mid,caf26
2631,wt,0.36721180827392574,True,Mid,caf26
2633,e4,0.07907945449189424,True,Mid,caf50
2634,e4,0.019041078226214925,True,Mid,caf50
2635,e4,0.05193252255629344,True,Mid,caf50
2647,wt,0.11622674479163986,True,Young,caf95
2648,wt,0.08223869013511376,False,Young,caf95
2673,wt,0.03146011035776408,False,Young,caf95
2674,e4,0.08919956344385871,True,Mid,caf50
2675,e4,0.1339349161298582,True,Mid,caf50
2676,e4,0.27610830261186625,True,Mid,caf50
2677,e4,0.1681929545137184,True,Mid,caf50
2678,e4,0.05648645793479967,True,Mid,caf50
2679,e4,0.10521603077009933,True,Mid,caf50
2680,e4,0.06898483394000321,True,Mid,caf50
2681,e4,0.017867355215162917,True,Mid,caf50
2682,e4,0.09570244333016564,True,Mid,caf50
2683,e4,0.07423779752436133,True,Mid,caf50
2684,e4,0.06909056861226204,True,Mid,caf50
2685,e4,0.11891232701054677,True,Mid,caf50
2688,wt,0.10038539206692598,False,Young,caf92
2689,wt,0.024999939334938714,False,Young,caf92
2690,wt,0.09596534591956352,False,Young,caf92
2691,wt,0.06206682141343589,False,Young,caf92
2692,e4,0.06431524096004249,True,Mid,caf50
2717,e4,0.07479101433344093,True,Mid,caf50
2718,e4,0.16632245886296526,True,Mid,caf50
2719,e4,0.023561926881902506,True,Mid,caf50
2720,e4,0.002595413216909037,True,Mid,caf50
2721,e4,0.2582953657652285,True,Mid,caf50
2722,e4,0.13559949135749716,True,Mid,caf50
2723,e4,0.06703463064905746,False,Mid,caf50
2724,e4,0.04951423975235647,True,Mid,caf50
2725,e4,0.07519693355551449,False,Mid,caf50
2726,e4,0.004354887608822855,True,Mid,caf50
2727,e4,0.0211182328432733,True,Mid,caf50
2728,e4,0.054198953464786426,True,Mid,caf50
2736,e4,0.10259725652340612,True,Mid,caf50
2737,wt,0.07568864243845796,False,Mid,caf26
2738,wt,0.5405317682580209,False,Mid,caf26
2739,wt,0.1869891674693578,True,Mid,caf26
2740,wt,0.6169007163276343,False,Mid,caf26
2741,wt,0.051099294373481596,True,Mid,caf26
2742,wt,0.4533285310409676,False,Mid,caf26
2743,wt,0.46838499880693973,False,Mid,caf26
2744,wt,0.30519967132254955,False,Mid,caf26
2750,wt,0.0711790017778402,True,Mid,caf26
2751,wt,0.4190773444099154,False,Mid,caf26
2752,wt,0.446081807172517,False,Mid,caf26
2753,wt,0.29035700914012574,True,Mid,caf26
2754,wt,0.1532732268605974,False,Mid,caf26
2755,wt,0.10524841555622455,,Mid,caf26
2756,wt,0.4250227487360059,True,Mid,caf26
2757,wt,0.13393715283243712,True,Mid,caf26
2760,wt,0.004513611883894875,False,Young,caf95
2765,wt,0.0788223232336489,False,Young,caf95
2766,wt,0.011151634026780322,False,Young,caf95
2778,wt,0.004276285262294399,False,Young,caf95
2794,e4,0.3180594855232448,True,Mid,caf50
2799,wt,0.07079424016585412,False,Young,caf95
2800,wt,0.07458184410453939,False,Young,caf95
2802,wt,0.3821030896499633,True,Young,caf95
2879,wt,0.027130095662259324,True,Young,caf95
2880,wt,0.055224051751419534,False,Young,caf95
2881,e4,0.01741852701832447,True,Mid,caf50
2882,e4,0.035206764186731965,True,Mid,caf50
2943,wt,0.12346151685109064,True,Mid,caf26
2944,wt,0.021341231325117782,True,Mid,caf26
2945,wt,0.2013520876587911,True,Mid,caf26
2946,wt,0.3269432515636155,,Mid,caf26
2947,wt,0.16490347841424824,True,Mid,caf26
2948,wt,0.16414277863420978,True,Mid,caf26
2949,wt,0.01200464716328331,False,Mid,caf26
2950,wt,0.315085165213016,True,Mid,caf26
2993,e4,0.14889232039524614,False,Mid,caf50
2994,e4,0.03443774241600339,True,Mid,caf50
2995,e4,0.023668263555700175,True,Mid,caf50
2996,e4,0.05340913284859883,True,Mid,caf50
3022,wt,0.10420638725341891,True,Old,caf81
3033,wt,0.007854775531950242,False,Young,caf92
3035,e4,0.08610879949056582,False,Mid,caf50
3064,e4,0.28563564695774346,False,Mid,caf50
3074,e4,0.1175330548293485,True,Mid,caf50
3075,e4,0.09881763737190963,True,Mid,caf50
3076,e4,0.0762806440971695,True,Mid,caf50
3077,e4,0.10918643163138064,True,Mid,caf50
3078,e4,0.3558834963660422,False,Mid,caf50
3079,e4,0.13381247216845882,False,Mid,caf50
3080,e4,0.2979713146381555,False,Mid,caf50
3081,e4,0.18425680398642807,True,Mid,caf50
3082,e4,0.526630248543345,False,Mid,caf50
3083,e4,0.04063732031019929,True,Mid,caf50
3084,e4,0.11314016676985572,True,Mid,caf50
3085,e4,0.03836377056827134,True,Mid,caf50
3087,wt,0.21139121008091144,False,Young,caf95
3088,wt,0.010718946887197767,False,Young,caf95
3089,wt,0.3297093095789263,True,Mid,caf26
3090,wt,0.4959053859966154,,Mid,caf26
3091,wt,0.021310928561941944,False,Mid,caf26
3092,wt,0.13089891924755248,True,Mid,caf26
3093,wt,0.029746433210961598,True,Mid,caf26
3094,wt,0.703267409859377,False,Mid,caf26
3095,wt,0.29913288637726665,False,Mid,caf26
3096,wt,0.39913711177929345,False,Mid,caf26
3097,wt,0.3765475059259418,True,Mid,caf26
3098,wt,0.2937263759357398,True,Mid,caf26
3099,wt,0.30913829594733544,True,Mid,caf26
3100,wt,0.2794199637362804,True,Mid,caf26
3101,wt,0.013699216653012325,True,Mid,caf26
3102,wt,0.15862483429533958,True,Young,caf95
3103,wt,0.24238713680225088,False,Young,caf95
3117,wt,0.12693324739912537,False,Mid,caf34
3118,wt,0.2000338189350771,,Mid,caf34
3119,wt,0.21908766382652578,,Mid,caf34
3120,wt,0.41688628711198505,,Mid,caf34
3132,wt,0.40206861992510157,False,Mid,caf26
3133,wt,0.20836009663191524,False,Mid,caf26
3134,wt,0.41226095616211467,False,Mid,caf26
3135,wt,0.004208954264158571,True,Mid,caf26
3136,wt,0.469747186477973,True,Mid,caf26
3137,wt,0.3639168922497684,False,Mid,caf26
3138,wt,0.8451307564391446,False,Mid,caf26
3139,wt,0.7324596782293462,False,Mid,caf26
3152,e4,0.045067619454841834,True,Mid,caf50
3153,e4,0.6759859895761766,False,Mid,caf50
3154,e4,0.10136557702831928,False,Mid,caf50
3155,e4,0.19067411395578082,True,Mid,caf50
3167,e4,0.10174110481169873,True,Mid,caf50
3168,e4,0.036290625001390575,True,Mid,caf50
3178,wt,0.056411326798677,True,Young,caf92
3190,e4,0.0034433282470462956,True,Mid,caf50
3191,e4,0.04340552156397859,False,Mid,caf50
3193,e4,0.042063929441873205,True,Mid,caf50
3202,wt,0.041953869527490584,False,Young,caf95
3211,wt,0.04926708812709757,False,Young,caf95
3215,wt,0.07764448562833315,True,Old,caf88
3216,wt,0.04508083132745733,True,Old,caf88
3221,wt,0.14468638648380683,True,Young,caf92
3222,wt,0.03092968768088844,True,Young,caf92
3241,e4,0.20466614401522154,False,Mid,caf50
3242,e4,0.39404401304034686,False,Mid,caf50
3243,e4,0.01874880513910382,True,Mid,caf50
3244,e4,0.1957386392519911,True,Mid,caf50
3247,wt,0.059308251862850714,True,Young,caf95
3252,wt,0.11677134943649792,False,Young,caf92
3299,wt,0.09704521140859801,False,Young,caf95
3300,wt,0.028084561476747094,False,Young,caf95
3316,wt,0.14252402028173328,False,Mid,caf26
3317,wt,0.5845838153640437,True,Mid,caf26
3318,wt,0.267881348412061,False,Mid,caf26
3319,wt,0.8106084552319957,False,Mid,caf26
3320,wt,0.34214716386174193,False,Mid,caf26
3321,wt,0.1455642348241879,False,Mid,caf26
3322,wt,0.7992560948383685,False,Mid,caf26
3323,wt,0.4916421827340134,True,Mid,caf26
3332,e4,0.16652946094926335,True,Mid,caf50
3333,e4,0.053242155144225256,True,Mid,caf50
3334,e4,0.05874892047621061,True,Mid,caf50
3335,e4,0.05951841439994254,True,Mid,caf50
3336,e4,0.11567434694658107,True,Mid,caf50
3337,e4,0.12827574338124048,True,Mid,caf50
3338,e4,0.038432511892014576,True,Mid,caf50
3339,e4,0.05780813017871278,True,Mid,caf50
3340,e4,0.05333383338722242,True,Mid,caf50
3341,e4,0.3571206815830108,False,Mid,caf50
3342,e4,1.1029229958656381,False,Mid,caf50
3350,e4,0.04691891964626005,True,Mid,caf50
3359,wt,0.02010971283209817,True,Young,caf95
3360,wt,0.13000315017178643,True,Young,caf95
3372,wt,0.1201270213942991,False,Mid,caf26
3373,wt,0.02937637060556897,True,Mid,caf26
3374,wt,0.34398421749269636,True,Mid,caf26
3375,wt,0.10866993918379286,True,Mid,caf26
3376,wt,0.07716955044479645,True,Mid,caf26
3377,wt,0.3378995841311414,,Mid,caf26
3378,wt,0.06256030763970744,False,Mid,caf26
3379,wt,0.03265649868259435,True,Mid,caf26
3380,wt,0.2848572415342139,False,Mid,caf26
3381,wt,0.06399196284109188,False,Mid,caf26
3382,wt,0.20710434352771512,True,Mid,caf26
3392,wt,0.030298694307849816,False,Old,caf88
3393,wt,0.02499937015567477,False,Old,caf88
3405,e4,0.05373890528566583,True,Mid,caf50
3406,wt,0.026252660979813935,True,Mid,caf26
3407,wt,0.04571203876866092,False,Mid,caf26
3408,wt,0.05214562240446696,False,Mid,caf26
3409,wt,0.28813849138692493,True,Mid,caf26
3410,wt,0.04950299588334994,False,Mid,caf26
3411,wt,0.012255356670219264,True,Mid,caf26
3412,wt,0.034600699476107,False,Mid,caf26
3413,wt,0.06236206068668371,True,Mid,caf26
3438,wt,0.0950641298109105,True,Old,caf69
3439,wt,0.05379419403011321,True,Old,caf69
3440,wt,0.03940102568650383,True,Old,caf69
3441,wt,0.019418886873754593,True,Old,caf69
3442,wt,0.05224583090762236,True,Old,caf69
3443,wt,0.03405434804689267,True,Old,caf69
3483,wt,0.20829170649034823,False,Mid,caf26
3484,wt,0.17040858083206167,True,Mid,caf26
3485,wt,0.12214483899311412,True,Mid,caf26
3486,wt,0.002622575994041476,True,Mid,caf26
3487,wt,0.0010143340699695358,True,Mid,caf26
3488,wt,0.016464300915114194,False,Mid,caf26
3489,wt,0.19269985047349936,False,Mid,caf26
